UF,municipality,code,area_de_ponderacao,N,P_AGUAENC,P_AGUAENCDENTRO,P_AGUAREDE,P_ESGOTOPUB,P_ESGOTOQUAL,P_MATPAREDES,P_OVERCROWDING,P_DESEMP,P_ENSFUND,P_ENSMED,P_ENSSUP,P_FORTRAB,P_FREQESCOLA
33,04557,3304557,3304557005001,15987.00001239777,99.99999938881956,99.05285128043033,99.66388194006868,98.25846161693335,98.89105683541857,98.47313725040294,10.41098653222434,10.0944002653705,45.826452106121,26.1585002852371,3.883009272976778,61.61701967357658,82.25223277695477
33,04557,3304557,3304557005002,12626.99997282028,99.99999961291905,99.99999961291905,99.58260362909641,99.74042831163388,99.89403121580835,99.38169837405439,1.090130576631054,4.516521483310498,87.3907497691107,80.34782239701599,57.62679608305916,70.78754251851933,95.04236429929733
33,04557,3304557,3304557005003,8617.000036001205,99.99999986466719,99.65011852764292,99.99999986466719,99.99999986466719,99.99999986466719,99.99999986466719,1.276092871557921,3.107902148622088,91.6602936158597,85.87323617175571,63.86034755050787,63.56927672459278,90.1648998260498
33,04557,3304557,3304557005004,9854.000000953674,99.8071473906748,97.11891090264544,99.6066553867422,79.10338072106242,88.44156077830121,99.36102336505428,8.083139476366341,9.795755171217024,68.25287025421858,48.03704871446826,8.900553005514666,64.49531113030389,87.44036518037319
33,04557,3304557,3304557005005,10210.99998414516,99.99999949359335,95.70626762579195,98.78934313892387,87.6481213606894,93.86522579006851,99.14693440659903,10.36488898098469,11.69375801109709,61.18285178308724,39.5182050022413,5.153461979352869,62.24265437340364,80.33574257278815
33,04557,3304557,3304557005006,9702.999990940094,100.0000005296897,99.25208344939165,95.94442432862706,89.63899879599921,92.41130328155123,99.12931214203127,10.79544952372089,8.689075970323756,60.17082168255001,37.92928295442834,4.043256264412776,61.74379764997866,92.50888186506927
33,04557,3304557,3304557005007,11182.99996566772,99.66151449480094,99.66151449480094,99.15661530103534,83.60532019869424,92.08966515143402,99.77292306139134,12.3720969830174,11.00038025178947,60.12741418962833,38.76626437122468,4.493911523604766,61.95082544873003,90.00335307791829
33,04557,3304557,3304557005008,12940.99998402596,99.5193683396792,98.85922524554189,99.5193683396792,83.95155194157269,93.09838268382009,99.87179420131724,9.367425469099544,9.204069338738918,60.4990930238273,40.20353667146992,4.15739168820437,63.19137691170909,92.53705656155944
33,04557,3304557,3304557005009,8716.000013828278,98.94477187554003,87.03339426210732,98.53823993253172,74.35356011628755,80.73849830325344,99.51872334713698,7.321801222860813,10.68015615455806,55.67588131671073,32.73968306020834,5.484113009879366,60.36050673210411,88.04715256555937
33,04557,3304557,3304557005010,12190.99995827675,99.82622071402147,99.82622071402147,99.44839495001361,86.24196019372903,95.01769123016857,99.99999954598024,9.951196273323148,8.828364018700086,57.46399272757117,37.34133331163321,4.092815049807541,59.40599930327153,88.09049194678664
33,04557,3304557,3304557005011,8471.000015258789,99.56521377898753,99.56521377898753,99.56521377898753,82.32128589879721,85.96118362620473,99.53928599134088,9.944659122265875,8.647036575712264,52.9003452451434,30.00687750754878,2.253725723130628,60.13774961757008,84.7699620295316
33,04557,3304557,3304557005012,8940.99996805191,99.99999595456757,97.62466130196117,98.82600866840221,66.77859471528791,83.08610069798306,99.99999595456757,10.57570370612666,11.97832344914787,53.84128047153354,32.45639705855865,2.715644065756351,57.74466586008202,88.95020224153996
33,04557,3304557,3304557005013,9302.000001192093,99.45214293838944,98.34087589697447,99.22540877887513,71.99739500356372,82.87268656713422,96.31291110708844,8.148676963173784,10.77274281415157,59.44056620428455,39.14600679418072,5.846428795484826,60.90090579746175,87.55809590220451
33,04557,3304557,3304557005014,11262.99996232986,99.72406903107185,99.54834973032121,99.52641504642088,78.73543192981742,84.24846404814161,99.93187528743874,9.441643962054513,11.70179377659224,45.48353352583945,26.94424696092028,4.919066414004192,59.90302640711889,77.59978035464883
33,04557,3304557,3304557005015,9543.000008821487,98.9717028933228,97.88415664952481,98.43649325339356,86.11728338437388,91.60113579273457,99.21385024354095,9.293261752463877,13.29570340458304,51.72905187355354,30.02492038649507,2.393136732280254,57.42895225484972,81.36126429308206
33,04557,3304557,3304557005016,10019.9999781847,99.2958486363932,98.60906795875053,97.41454358954797,77.43710048889625,83.24592694916646,99.72663171865861,8.443043712031795,13.13359580308315,61.59824072201445,40.08585077208409,5.013580375452875,57.7760652085999,86.72540562110953
33,04557,3304557,3304557005017,8996.000008821487,99.99999985448085,97.99788634409197,98.33760944311507,67.91208335780539,72.20941273844801,99.5518529380206,9.788236021995544,11.68500748462975,60.98798728489783,40.54183722764719,3.735987679101527,62.93583998922259,84.40895942039788
33,04557,3304557,3304557005018,8239.99999332428,99.44953782251105,96.66618728078902,95.06110866786912,76.33224219316617,85.90020715491846,100.0000028754584,9.361279348377138,12.51305534970015,60.79960553033743,38.00562592223287,9.300488245207816,54.82945787662175,84.32064694352448
33,04557,3304557,3304557005019,9757.999991416931,100.0000001164153,99.79848901275545,95.2457663253881,74.00803173659369,86.06342129060067,99.76822545286268,9.624920308124274,9.076732752146199,62.06438436638564,42.84836541046388,5.574096034979448,56.10908322851174,79.60015586577356
33,04557,3304557,3304557005020,8213.999999523163,98.89853878848953,98.17531418957515,94.75227442308096,66.60771631723037,72.84090095636202,99.99999987048795,16.35484456783161,10.29210694832727,49.48552915593609,29.26804061717121,4.478458827361465,56.59427583159413,82.81531468965113
